,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
22,23,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",7kDUspsoYfLkWnZR7qwHZl,592746369.0,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,4
23,24,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",27NovPIUIRrOZoCHxABJwK,1727794718.0,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4
24,25,Therefore I Am,Billie Eilish,20R4HfKloPKgXDqU7UKk3x,,0.879,0.365,2,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,4
25,26,Up,Cardi B,1XXimziG1uhM0eDNCZCrUl,552779747.0,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,4
26,27,Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,255351746.0,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,4
27,28,DÁKITI,"Bad Bunny, JhayCo",47EiUVwUp4C9fGccaPuUCS,2020.0,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4
28,29,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",2etHQJxIbV0soyPhelVs9Y,476953236.0,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,4
29,30,RAPSTAR,Polo G,43PGPuHIlVOc04jrZVh9L6,753911954.0,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4
30,31,Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,885552445.0,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3
31,32,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",0PvFJmanyNQMseIFrU708S,977054549.0,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4
32,33,Calling My Phone,"Lil Tjay, 6LACK",3J8EOeKLTLXORtWPpOU5bE,620743607.0,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,4
33,34,Beautiful Mistakes (feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",5zFglKYiknIxks8geR8rcL,,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,4
34,35,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",5u1n1kITHCxxp8twBcZxWy,,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4
35,36,On Me,Lil Baby,4Iedi94TIaB2GGb1nMB68v,,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,4
36,37,you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,1122293915.0,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4
37,38,traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,1133586036.0,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4
38,39,Back in Blood (feat. Lil Durk),"Pooh Shiesty, Lil Durk",7JuHVG3qQKQKxC4doneXVW,290964509.0,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,4
39,40,I Hope (feat. Charlie Puth),"Gabby Barrett, Charlie Puth",5cYFwgA5dHoqR3xGnlr9ew,81170094.0,0.563,0.576,6,-6.495,1,0.0401,0.171,0.0,0.158,0.412,75.019,4
40,41,Dynamite,BTS,4saklk6nie3yiGePpBwUoc,1630941820.0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
41,42,Wockesha,Moneybagg Yo,0nqhKXDjsyBMvbeWmgijD0,,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,4
42,43,You Right,"Doja Cat, The Weeknd",0k4d5YPDr1r7FX77VdqWez,,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4
43,44,Beat Box 2 (feat. Pooh Shiesty),"SpotemGottem, Pooh Shiesty",4viLFSt63lJgCEZMfJwxI4,37830722.0,0.808,0.313,1,-7.992,1,0.245,0.116,0.0,0.0991,0.277,159.951,4
44,45,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2SAqBLGA283SUiwJ3xOUVI,,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
45,46,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,4
46,47,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",65OVbaJR5O1RmwOQx0875b,,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,4
47,48,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",0k1WUmIRnG3xU6fvvDVfRG,,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,4
48,49,telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,830289684.0,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,4
49,50,Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA,691064509.0,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,4
50,51,Lemonade,"Internet Money, Gunna, Don Toliver, NAV",02kDW379Yfd5PzW5A6vuGt,,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,4
51,52,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4
52,53,Starting Over,Chris Stapleton,3TNSVsiFngfe68UJpMq1oS,190849944.0,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,4
53,54,Body,Megan Thee Stallion,0A1hoCfMLkiAgvhWkkucJa,,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,4
54,55,willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4
55,56,Bang!,AJR,2I2AqFb0f9UNnolWc2MafC,346067530.0,0.736,0.526,1,-6.462,0,0.0566,0.0153,0.0,0.0628,0.654,139.84,4
56,57,Better Together,Luke Combs,6gdLyYNuhWBzqwlOFSsXC7,,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,4
57,58,You’re Mines Still (feat. Drake),"Yung Bleu, Drake",7E2C5rBLpCKwQlhJPVFBRS,2020.0,0.575,0.609,5,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.004,4
58,59,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",1EJIcDYXwSqipW5dFe4uJz,247123025.0,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,4
59,60,Essence (feat. Justin Bieber & Tems),"Wizkid, Justin Bieber, Tems",1mSdbey7RstGLY2udgXv74,,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,4
60,61,Chasing After You (with Maren Morris),"Ryan Hurd, Maren Morris",1ZIKpMTRPqhwAoVXWY3tXI,,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,4
61,62,The Good Ones,Gabby Barrett,3hLuHKzG1cmlRpq53ZVWd8,178538433.0,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,4
62,63,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",4qu63nuBpdn0qHUHuObEj1,588795267.0,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4
63,64,Glad You Exist,Dan + Shay,472vIK1ldetTxRxG3ovaiY,,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,4
64,65,Lonely (with benny blanco),"Justin Bieber, benny blanco",3S8jK1mGzQi24ilFb45DAZ,,0.619,0.241,11,-7.102,0,0.046,0.9,0.0,0.116,0.0719,79.461,4
65,66,Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,1293631588.0,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,4
66,67,Streets,Doja Cat,60ynsPSSKe6O3sfwRnIBRf,,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
67,68,What’s Next,Drake,3aQem4jVGdhtg116TmJnHz,,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,4
68,69,Famous Friends,"Chris Young, Kane Brown",4iXDn9pu5Q9sxv45vE8Lak,133862026.0,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,4
69,70,Lil Bit,"Nelly, Florida Georgia Line",0NmuYnjETG3u3qx0OmEJev,,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,4
70,71,Thot Shit,Megan Thee Stallion,5zNW5ARjYhJQJz1AChP33n,,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02,4
71,72,late at night,Roddy Ricch,1fxYz1s15pyZLsJT0Hdh1m,,0.643,0.403,1,-11.254,0,0.41,0.343,0.0,0.138,0.111,98.54,4
72,73,Kings & Queens,Ava Max,7a53HqqArd4b9NF4XAmlbI,763090583.0,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4
73,74,Anyone,Justin Bieber,2WnAKZefdRHxtBEkRjFOHC,,0.685,0.521,2,-8.285,1,0.0345,0.185,3.59e-06,0.111,0.578,115.885,4
74,75,Track Star,Mooski,5hChuUMe5iHfjkXgzj1D4b,87937965.0,0.641,0.598,7,-5.7,0,0.324,0.381,0.0,0.0921,0.285,131.459,5
75,76,Time Today,Moneybagg Yo,0YrKSfpvflYnLSBd4Jtu6J,132455031.0,0.912,0.608,1,-7.686,1,0.397,0.0458,0.0,0.248,0.327,136.994,4
76,77,Cry Baby (feat. DaBaby),"Megan Thee Stallion, DaBaby",4aarlAfLKVCTxUDNgbwhjH,,0.957,0.437,11,-7.882,1,0.359,0.00402,0.0,0.219,0.616,130.058,4
77,78,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4
78,79,No More Parties,Coi Leray,3R6wLBD4oU6op8L4YfMho9,,0.847,0.405,11,-10.901,1,0.584,0.232,5.37e-06,0.0944,0.588,156.999,4
79,80,What’s Your Country Song,Thomas Rhett,4oR2cCQGs0Yt0Mgr2diV6V,,0.359,0.706,5,-6.151,1,0.0309,0.000602,0.0,0.285,0.479,174.079,4
80,81,One Too Many,"Keith Urban, P!nk",5NUXE8W12lWcUXgJRCjeEw,179850014.0,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,4
81,82,Arcade,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,928514752.0,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3
82,83,Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4
83,84,GOOD TIME,Niko Moon,2S8UMuLJ0z8agFgFGJ6Ztt,131729465.0,0.802,0.59,5,-7.189,1,0.0493,0.0874,0.0,0.275,0.687,138.084,4
84,85,If I Didn't Love You,"Jason Aldean, Carrie Underwood",5f3MXmTmstozFg0BH1yPUk,107931970.0,0.456,0.679,1,-4.802,1,0.0324,0.176,0.0,0.103,0.483,184.075,4
85,86,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",2BcMwX1MPV6ZHP4tUT9uq6,,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,4
86,87,pov,Ariana Grande,3UoULw70kMsiVXxW0L3A33,,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,4
87,88,Just the Way,"Parmalee, Blanco Brown",5PAvFGse5jjDH9ke8Mae7D,151009523.0,0.544,0.829,9,-2.84,1,0.0404,0.107,0.0,0.317,0.815,90.048,4
88,89,Take My Breath - Single Version,The Weeknd,6OGogr19zPTM4BALXuMQpF,,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,4
89,90,We're Good,Dua Lipa,1diS6nkxMQc3wwC4G1j0bh,,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,4
90,91,Hell Of A View,Eric Church,1kBx9VGumfuvlfqdlAGorE,109743410.0,0.689,0.582,5,-6.778,1,0.0236,0.119,0.00464,0.101,0.883,99.021,4
91,92,Rockin' Around The Christmas Tree,Brenda Lee,2EjXfH91m7f8HiJN1yQg97,767135781.0,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,4
92,93,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,531895357.0,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
93,94,Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,970624786.0,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
94,95,Single Saturday Night,Cole Swindell,1irAliF0T8sLIOPJp6n7rU,115487243.0,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,4
95,96,Things A Man Oughta Know,Lainey Wilson,5QS8PNEWbqTEZyQ6e9ZbJf,109654967.0,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,4
96,97,Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe,48805808.0,0.9,0.521,4,-7.286,0,0.147,0.0135,0.0,0.0951,0.213,132.007,4
97,98,Tombstone,Rod Wave,3zc8VZEpM1onYV4FWGdFvm,,0.55,0.637,8,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,4
98,99,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),"Chase Rice, Florida Georgia Line",1UYfAU2bwgjaM5rIIPQleC,78802536.0,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,4
99,100,Todo De Ti,Rauw Alejandro,4fSIb4hdOQ151TILNsSEaF,,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4
