,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
25,26,FRIENDS,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,4
26,27,Bad At Love,Halsey,7y9iMe8SOB6z3NoHE2OfXl,,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,4
27,28,Taste (feat. Offset),"Tyga, Offset",5IaHrVsrferBYDm0bDyABy,1211060844.0,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,4
28,29,Let You Down,NF,52okn5MNA47tk87PeZJLEL,1281424186.0,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,4
29,30,No Limit,"G-Eazy, A$AP Rocky, Cardi B",2Xqd0wUttjueBfdcltADOv,616303076.0,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,4
30,31,FEFE (feat. Nicki Minaj & Murda Beatz),"6ix9ine, Nicki Minaj, Murda Beatz",2E124GmJRnBJuXbTb4cPUB,,0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.376,125.978,4
31,32,Tequila,Dan + Shay,7Il2yWQmsqKgSkLQvHTPUI,527637172.0,0.474,0.594,11,-5.756,1,0.0289,0.0292,0.0,0.133,0.503,86.131,4
32,33,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,1106911134.0,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
33,34,MotorSport,"Migos, Nicki Minaj, Cardi B",4wFjTWCunQFKtukqrNijEt,,0.904,0.518,2,-5.32,1,0.183,0.0305,0.0,0.325,0.188,137.996,4
34,35,I Like Me Better,Lauv,1wjzFQodRWrPcQ0AnYnvQ9,1550420080.0,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,4
35,36,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,1528181930.0,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4
36,37,Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,4
37,38,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",7sO5G9EABYOXQKNPNiE9NR,1177212776.0,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,4
38,39,I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh,,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,4
39,40,Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",77UjLW8j5UAGAGVGhR5oUK,,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,4
40,41,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,4hQ6UGyWQIGJmHSo0J88JW,,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4
41,42,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4
42,43,Walk It Talk It,"Migos, Drake",6n4U3TlzUGhdSFbUUhTvLP,690712729.0,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4
43,44,Gucci Gang,Lil Pump,43ZyHQITOjhciSUUNPVRHc,,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,4
44,45,Him & I (with Halsey),"G-Eazy, Halsey",5k38wzpLb15YgncyWdTZE4,773306796.0,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,4
45,46,In My Blood,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,4
46,47,All The Stars (with SZA),"Kendrick Lamar, SZA",3GCdLUSnKSMJhs4Tj6CV3s,1229147620.0,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
47,48,Stir Fry,Migos,2UVbBKQOdFAekPTRsnkzcf,577695661.0,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,4
48,49,Too Good At Goodbyes,Sam Smith,3VlbOrM6nYPprVvzBZllE5,1701844369.0,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,4
49,50,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",6PGoSes0D9eUDeeAafB2As,,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,4
50,51,This Is America,Childish Gambino,0b9oOr2ZgvyQu88wzixux9,,0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024,4
51,52,Nonstop,Drake,0TlLq3lA83rQOYtrqBqSct,,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,4
52,53,Heaven,Kane Brown,1HXy5I3HTWq8OvxCn0z7G7,424305544.0,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,4
53,54,Bodak Yellow,Cardi B,6KBYefIoo7KydImq1uUQlL,,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,4
54,55,Freaky Friday (feat. Chris Brown),"Lil Dicky, Chris Brown",10Igtw8bSDyyFs7KIsKngZ,622825020.0,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,4
55,56,GUMMO,6ix9ine,4HbiCvH1R7mVOJ7KY7JQBD,,0.66,0.775,2,-4.926,1,0.172,0.0553,0.0,0.129,0.635,157.036,4
56,57,Plug Walk,Rich The Kid,1ZAyjvIk9YiD76yYy0TEG6,606475493.0,0.876,0.519,11,-6.531,1,0.143,0.202,0.0,0.108,0.158,94.981,4
57,58,Wait,Maroon 5,6AvfZXpbb6r35DfF7gHPRq,,0.655,0.603,8,-5.014,1,0.0555,0.0959,0.0,0.107,0.452,126.088,4
58,59,Be Careful,Cardi B,2Yl4OmDby9iitgNWZPwxkd,,0.82,0.568,6,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,4
59,60,Wolves,"Selena Gomez, Marshmello",0tBbt8CrmxbjRP0pueQkyU,1215644926.0,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,4
60,61,Bartier Cardi (feat. 21 Savage),"Cardi B, 21 Savage",0dIoGTQXDh1wVnhIiSyYEa,,0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,4
61,62,God is a woman,Ariana Grande,5OCJzvD7sykQEKHH7qAC3C,,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,4
62,63,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG, 2 Chainz, Big Sean, Nicki Minaj",0ZNrc4kNeQYD9koZ3KvCsy,,0.745,0.346,1,-7.709,1,0.331,0.00552,0.0,0.0881,0.112,203.911,4
63,64,Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,1065847790.0,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,4
64,65,How Long,Charlie Puth,6wmAHw1szh5RCKSRjiXhPe,,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,4
65,66,Lights Down Low,"MAX, gnash",6TFO7bRauf2CEXh9qy2QcY,334374120.0,0.622,0.571,0,-5.338,0,0.0493,0.0458,0.0,0.122,0.635,81.059,4
66,67,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,4
67,68,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",7ef4DlsgrMEH11cDZd32M6,1795103348.0,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4
68,69,Natural,Imagine Dragons,2FY7b99s15jUprqC0M5NCT,,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,4
69,70,You Make It Easy,Jason Aldean,2ZxTjs4EdJl4Y9YByIiNoo,385163988.0,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,3
70,71,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,3442631151.0,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
71,72,I Get the Bag (feat. Migos),"Gucci Mane, Migos",1XRgIKC5TPwo7nWGyKqgG0,498474276.0,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,4
72,73,No Brainer,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",5WvAo7DNuPRmk4APhdPzi8,,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,5
73,74,Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg, Nicki Minaj",2YzmfPLqUx5CJOaw5ThsBV,260016384.0,0.791,0.839,11,-4.284,1,0.266,0.0588,6.26e-05,0.259,0.383,170.113,4
74,75,Sky Walker (feat. Travis Scott),"Miguel, Travis Scott",5WoaF1B5XIEnWfmb5NZikf,,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,4
75,76,Marry Me,Thomas Rhett,0OWZFobGSIW9GrSlQ9C5pc,321081390.0,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,4
76,77,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0d2iYfpKoM0QCKvcLCkBao,1465087313.0,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,4
77,78,Call Out My Name,The Weeknd,4MPTj8lMMvxLwT3EwuXFop,,0.449,0.599,1,-4.892,1,0.0369,0.211,0.0,0.327,0.165,134.144,3
78,79,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake",1eLSF6HfrRA0AsNmTkUlKx,535788132.0,0.566,0.724,1,-4.574,1,0.323,0.00102,0.0,0.158,0.407,81.774,4
79,80,Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,1840171716.0,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4
80,81,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",3V8UKqhEK5zBkBb6d6ub8i,1061037250.0,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,4
81,82,Simple,Florida Georgia Line,1co0puPTYvqAdUEjFOjne9,,0.375,0.889,3,-3.704,1,0.0991,0.0848,0.0,0.136,0.881,199.669,4
82,83,Lemon,"N.E.R.D, Rihanna, Pharrell Williams",4PpuH4mxL0rD35mOWaLoKS,159210178.0,0.916,0.727,1,-6.556,1,0.0861,0.00214,0.000145,0.118,0.201,94.997,4
83,84,1-800-273-8255,"Logic, Alessia Cara, Khalid",5tz69p7tJuGPeMGwNTxYuV,1230584677.0,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,4
84,85,Say Something (feat. Chris Stapleton),"Justin Timberlake, Chris Stapleton",1LhMopPAallLeaeNutqbgS,,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,4
85,86,I'm Upset,Drake,3qN5qMTKyEEmiTZD38BNTT,,0.899,0.586,11,-7.866,0,0.343,0.279,0.0,0.0836,0.492,150.002,4
86,87,Get Along,Kenny Chesney,2ZFrEp20VO25BXYhMxh0GW,187318852.0,0.602,0.805,7,-6.079,1,0.0473,0.0997,0.0,0.172,0.322,92.401,4
87,88,Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
88,89,What Lovers Do (feat. SZA),"Maroon 5, SZA",2j5hsQvApottzvTn4pFJWF,,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,4
89,90,X,"Nicky Jam, J Balvin",39N9RPD9MRb5WmoLzNzPeA,879245906.0,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,4
90,91,Outside Today,YoungBoy Never Broke Again,5PIfH6BzcmH04RDmtzF0BN,284338299.0,0.851,0.666,11,-5.334,0,0.0694,0.139,0.0,0.105,0.0585,134.068,4
91,92,Trip,Ella Mai,6CTWathupIiDs7U4InHnDA,420728911.0,0.477,0.61,11,-5.628,0,0.144,0.225,0.0,0.107,0.358,79.882,4
92,93,Dura,Daddy Yankee,6KuqAtoeVzxAYOaMveLNpH,,0.783,0.84,1,-3.416,1,0.051,0.174,0.0,0.412,0.839,95.001,4
93,94,changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO,,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,4
94,95,Mercy,Brett Young,2VIPU72L6tIR4w8J8ap6Kp,200943072.0,0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,4
95,96,One Number Away,Luke Combs,4gB7HrYHbJVJ5RFOjxmoq4,,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,4
96,97,Powerglide (feat. Juicy J) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",1BuZAIO8WZpavWVbbq3Lci,,0.713,0.831,1,-4.75,0,0.15,0.0168,0.0,0.118,0.584,173.948,4
97,98,IDGAF,Dua Lipa,76cy1WJvNGJTj78UqeA5zr,,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,4
98,99,Mi Gente (feat. Beyoncé),"J Balvin, Willy William, Beyoncé",1DoK3CdipMjplLk5LXUdcp,,0.759,0.716,11,-6.36,0,0.0818,0.0223,0.0,0.231,0.469,105.021,4
99,100,Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,2459980495.0,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4
