,Name,Artists,ID,Streams
45,Let Me Love You,"DJ Snake, Justin Bieber",0lYBSQXN6rCTvUZvg9S0lU,1774570700.0
46,Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,1065847790.0
47,Bank Account,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,
48,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,1514866271.0
49,Mi Gente (feat. Beyoncé),"J Balvin, Willy William, Beyoncé",7fwXWKdDNI5IutOMc5OKYw,
50,Thunder,Imagine Dragons,5VnDkUNyX6u5Sk0yZiP8XB,
51,T-Shirt,Migos,7KOlJ92bu51cltsD9KU5I7,
52,Rake It Up (feat. Nicki Minaj),"Yo Gotti, Nicki Minaj",4knL4iPxPOZjQzTUlELGSY,342650648.0
53,Mercy,Shawn Mendes,0AS63m1wHv9n4VVRizK6Hc,
54,Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4,
55,rockstar,"Post Malone, 21 Savage",1OmcAT5Y8eg5bUPv9qJT4R,
56,In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw,471400750.0
57,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,1510572729.0
58,Now Or Never,Halsey,7i2DJ88J7jQ8K7zqFX2fW8,
59,Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,701052460.0
60,Rolex,Ayo & Teo,0pSBuHjILhNEo55xK1zrRt,449828384.0
61,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,
62,Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",1lItf5ZXJc1by9SbPeljFd,230428209.0
63,Swang,Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL,569271267.0
64,Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz,
65,LOYALTY. FEAT. RIHANNA.,"Kendrick Lamar, Rihanna",0Omhxcy38tjNxqVZshdfpf,
66,Praying,Kesha,79NlESqzFSW0hdBWgls4FX,
67,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,1940228514.0
68,Cold (feat. Future),"Maroon 5, Future",50QWA5PR501dIe2KkJkHRR,
69,Broccoli (feat. Lil Yachty),"DRAM, Lil Yachty",7yyRTcZmCiyzzJlNzGC9Ol,
70,Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",7tr2za8SQg2CI8EDgrdtNl,
71,What Ifs (feat. Lauren Alaina),"Kane Brown, Lauren Alaina",7zVCrzzEJU7u24sbJPXA5W,
72,Chained To The Rhythm,"Katy Perry, Skip Marley",5tP2TrJDgXXxAHZwcOknOI,
73,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",5bcTCxgc7xVfSaMV3RuVke,
74,All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,673064088.0
75,Hurricane,Luke Combs,6xHI9KjUjYT0FPtGO8Mxa1,
76,Too Good At Goodbyes,Sam Smith,3VlbOrM6nYPprVvzBZllE5,1701844369.0
77,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,
78,Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl,649542192.0
79,Love Galore (feat. Travis Scott),"SZA, Travis Scott",0q75NwOoFiARAVp4EXU4Bs,
80,Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie, Kodak Black",6Q2FftbUG530lCtBI74bMH,746967784.0
81,Starving,"Hailee Steinfeld, Grey, Zedd",4Ce37cRWvM1vIGGynKcs22,1103565615.0
82,Both (feat. Drake),"Gucci Mane, Drake",5tFep7dXGd7vEJ668wTPux,
83,What About Us,P!nk,31MkGwj0SWgZaTvEt5Hgxv,
84,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",6kex4EBAj0WHXDKZMEJaaF,
85,Slippery (feat. Gucci Mane),"Migos, Gucci Mane",6p8NuHm8uCGnn2Dtbtf7zE,
86,Sign of the Times,Harry Styles,5ELRkzdzz0HvGpMDlfZHkV,
87,Water Under The Bridge,Adele,7xfzwPasShmaPL7gB7va3J,
88,Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ,
89,Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,212694908.0
90,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",5lNuqFVMca4vPupY10cH0J,646312059.0
91,Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,1758605448.0
92,I Get the Bag (feat. Migos),"Gucci Mane, Migos",1XRgIKC5TPwo7nWGyKqgG0,498474276.0
93,Small Town Boy,Dustin Lynch,2YMhrXQYKkm4kXLcXKKd5z,299205044.0
94,Everyday We Lit (feat. PnB Rock),"YFN Lucci, PnB Rock",4PzovBqgnSHKd8opsP7IVM,196590839.0
95,Havana (feat. Young Thug),"Camila Cabello, Young Thug",0ofbQMrRDsUaVKq2mGLEAb,1876805734.0
96,What Lovers Do (feat. SZA),"Maroon 5, SZA",4nYsmWkuTaowTMy4gskmBw,
97,do re mi,blackbear,3Q3myFA7q4Op95DOpHplaY,
98,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18,
99,The Fighter,"Keith Urban, Carrie Underwood",5OUSPcqhYTOzpbXzoEvKim,
