,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
27,28,Heartless,The Weeknd,6bnF93Rx87YqUBLSgjiMU8,,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,4
28,29,BOP,DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,718833150.0,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,4
29,30,Lose You To Love Me,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,1014218616.0,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,4
30,31,Good as Hell,Lizzo,6KgBpzTuTRPebChN0VTyzV,,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,4
31,32,Toosie Slide,Drake,127QTOFJsJQp5LbJbu3A1y,,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,4
32,33,Break My Heart,Dua Lipa,017PF4Q3l4DBUiWoXk4OWT,,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4
33,34,Chasin' You,Morgan Wallen,5MwynWK9s4hlyKHqhkNn4A,,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,4
34,35,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",1xQ6trAsedVPCdbtDAmk0c,1024663338.0,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,4
35,36,No Guidance (feat. Drake),"Chris Brown, Drake",6XHVuErjQ4XNm6nDPVCxVX,893723764.0,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,4
36,37,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",3yOlyBJuViE2YSGn3nVE1K,,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,4
37,38,Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,1630941820.0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
38,39,Go Crazy,"Chris Brown, Young Thug",1IIKrJVP1C9N7iPtG6eOsK,,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4
39,40,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",07KXEDMj78x68D884wgVEm,,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,4
40,41,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2SAqBLGA283SUiwJ3xOUVI,,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
41,42,Woah,Lil Baby,598yNsG1JFrGd4n2kMoz7F,,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,4
42,43,death bed (coffee for your head),"Powfu, beabadoobee",7eJMfftS33KTjuF7lTsMCx,1426962212.0,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4
43,44,Señorita,"Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,2398627901.0,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,4
44,45,HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4
45,46,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
46,47,Mood (feat. iann dior),"24kGoldn, iann dior",3tjFYV6RSFtuktYl3ZtYcq,1647916477.0,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4
47,48,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",24ySl2hOPGCDcxBxFIqWBu,2020.0,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,4
48,49,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",0PvFJmanyNQMseIFrU708S,977054549.0,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4
49,50,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,2019.0,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,4
50,51,Heart On Ice,Rod Wave,6fWa5CRgy0z30OeGZyMBvD,266418682.0,0.733,0.389,10,-8.468,0,0.0738,0.0513,0.0,0.141,0.244,157.878,3
51,52,Nobody But You (Duet with Gwen Stefani),"Blake Shelton, Gwen Stefani",5M8goiFYynmNxhueYW6grR,,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,4
52,53,Trampoline,SHAED,0lsRatBUs9HNIZAmoGABzk,210498251.0,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,4
53,54,Come & Go (with Marshmello),"Juice WRLD, Marshmello",2Y0wPrPQBrGhoLn14xRYCG,,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,4
54,55,Truth Hurts,Lizzo,5qmq61DAAOUaW8AUo8xKhh,906684913.0,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,4
55,56,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",2kJwzbxV2ppxnQoYw4GLBZ,946079875.0,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,4
56,57,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",6gxKUmycQX7uyMwJcweFjp,,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,4
57,58,Yummy,Justin Bieber,16wAOAZ2OkqoIDN7TpChjR,,0.676,0.506,9,-6.652,0,0.0958,0.345,0.0,0.118,0.497,145.842,4
58,59,One Man Band,Old Dominion,7cA3PnUQDlUyBBwpRozQeo,321934865.0,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,4
59,60,Got What I Got,Jason Aldean,4TCc369aRPRubv1m8R1TBG,,0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,3
60,61,Sunday Best,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,857230487.0,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4
61,62,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",7FIWs0pqAYbP91WWM0vlTQ,,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,4
62,63,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",6Gg1gjgKi2AK4e0qzsR7sd,,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,4
63,64,Party Girl,StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,619011095.0,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,4
64,65,Die From A Broken Heart,Maddie & Tae,1kFpL1itkwkdhO6kcmNJra,227183315.0,0.607,0.514,4,-6.631,1,0.0323,0.363,0.0,0.258,0.414,75.978,4
65,66,POPSTAR (feat. Drake),"DJ Khaled, Drake",6EDO9iiTtwNv6waLwa1UUq,621730083.0,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,4
66,67,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4
67,68,One Of Them Girls,Lee Brice,14GwnOeC9qYEKEA6uOZepa,261615660.0,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,4
68,69,Hard To Forget,Sam Hunt,10xuH52YSXHWFwCaF1fsDd,,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,4
69,70,One Margarita,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997,4
70,71,Panini,Lil Nas X,1000nHvUdawXuUHgBod4Wv,,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,4
71,72,Hot (feat. Gunna),"Young Thug, Gunna",5Z8HZM6iQMhhqyPcCGY5g9,,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,4
72,73,I Hope You’re Happy Now,"Carly Pearce, Lee Brice",0Al3wN3keprGTSgG8NBwjr,170712898.0,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,4
73,74,Emotionally Scarred,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,4
74,75,Suicidal (Remix) [feat. Juice WRLD],"YNW Melly, Juice WRLD",4S2uhQE8L9V6p7rj7SiauJ,345982908.0,0.655,0.441,9,-5.245,0,0.0629,0.474,0.0,0.099,0.273,139.957,4
75,76,The Bigger Picture,Lil Baby,44gRhRi2OhEf7moAUj6MD1,,0.59,0.618,1,-5.756,1,0.334,0.0127,0.0,0.244,0.153,96.459,3
76,77,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,4
77,78,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",1H7KnK26kc1YyellpbINEn,,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,4
78,79,Sum 2 Prove,Lil Baby,2u3EyuCqqV31woqGvO9LBz,,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,4
79,80,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",4HBZA5flZLE435QTztThqH,,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,3
80,81,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay",5rZlwNFl01HqLWBQGryKSm,,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,4
81,82,You should be sad,Halsey,7lidXGPXPYLNThITAOTlkK,,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,4
82,83,Dior,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,855017805.0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,4
83,84,Supalonely,"BENEE, Gus Dapperton",4nK5YrxbMGZstTLbvj6Gxw,,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,4
84,85,Even Though I'm Leaving,Luke Combs,5Fhe63YOMZsGdB3CgCDuBi,,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,4
85,86,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",39Yp9wwQiSRIDOvrVg7mbk,696213522.0,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,4
86,87,Juicy,"Doja Cat, Tyga",7qvsl2pYzrsYgPeFBN5jxp,,0.786,0.658,0,-2.61,1,0.0661,0.0856,0.0,0.0689,0.458,170.037,4
87,88,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",5f1joOtoMeyppIcJGZQvqJ,,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,4
88,89,Homesick,Kane Brown,30RZAuEkYeDXvy46Iv6l7E,,0.701,0.5,8,-8.82,1,0.0303,0.46,0.0,0.234,0.409,97.028,4
89,90,Rags2Riches (feat. ATR Son Son),"Rod Wave, ATR Son Son",1ENdcyhqdylaLsPVgB83qq,,0.904,0.252,5,-17.54,0,0.11,0.294,0.0,0.104,0.227,117.994,4
90,91,Bluebird,Miranda Lambert,0kPeZAyIhIfeZNrtfjJGDB,142432904.0,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,4
91,92,Wishing Well,Juice WRLD,2U5WueTLIK5WJLD7mvDODv,,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,4
92,93,Does To Me (feat. Eric Church),"Luke Combs, Eric Church",0nGXi46VcQQ56ZJR428MKS,,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,4
93,94,P*$$Y Fairy (OTW),Jhené Aiko,48KXAIruJ07kJVCWOGohMV,,0.572,0.519,2,-7.092,0,0.212,0.536,0.0,0.102,0.35,128.331,4
94,95,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",62aP9fBQKYKxi7PDXwcUAS,812747861.0,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,4
95,96,More Than My Hometown,Morgan Wallen,0eBXyY4SatzpE7opnzgXvz,,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,4
96,97,Lovin' On You,Luke Combs,0nYvjcSlCgjcwogQAwIwNp,,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,4
97,98,Said Sum,Moneybagg Yo,3sKz6Sd72K0ofPWcJPPk6H,,0.929,0.667,8,-6.789,0,0.353,0.0185,0.0,0.1,0.274,126.998,4
98,99,Slide,"H.E.R., YG",2rTnVB1bvwxHtaIl4uVu7f,,0.832,0.469,10,-9.141,0,0.339,0.0807,8.26e-06,0.207,0.197,97.023,4
99,100,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",4cSSL3YafYjM3yjgFO1vJg,450343381.0,0.867,0.744,2,-5.171,1,0.227,0.268,0.0,0.0713,0.645,84.005,4
