,Ranking,Song Names,Artists,Song Ids,Streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
12,13,XO Tour Llif3,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmDO,,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,4
13,14,Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
14,15,Unforgettable,"French Montana, Swae Lee",3B54sVLJ402zGa6Xm4YGNe,1639814788.0,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
15,16,24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,4
16,17,Stay,"Zedd, Alessia Cara",6uBhi9gBXWjanegOb2Phh0,1115208829.0,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4
17,18,Wild Thoughts (feat. Rihanna & Bryson Tiller),"DJ Khaled, Rihanna, Bryson Tiller",1OAh8uOEOvTDqkKFsKksCi,967365439.0,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,4
18,19,Black Beatles,"Rae Sremmurd, Gucci Mane",6fujklziTHa8uoM5OQSfIo,874890044.0,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,4
19,20,Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,2349400780.0,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4
20,21,Location,Khalid,152lZdxL1OR0ZMW6KquMif,,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
21,22,Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,1495184472.0,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4
22,23,There's Nothing Holdin' Me Back,Shawn Mendes,7JJmb5XwzOO8jgpou264Ml,1617424046.0,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,4
23,24,Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,,0.929,0.723,11,-5.792,0,0.109,0.0672,0.0,0.346,0.458,125.022,4
24,25,Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y,1339876839.0,0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,4
25,26,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",2y5aJvzXhHPA94U5GFAcXe,1374091071.0,0.734,0.442,0,-8.432,1,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,4
26,27,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",3eR23VReFzcdmS7TYCrhCe,,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4
27,28,iSpy (feat. Lil Yachty),"KYLE, Lil Yachty",2EEeOnHehOozLq4aS0n6SL,885984356.0,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,4
28,29,Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0,1092862297.0,0.728,0.415,8,-6.852,1,0.0639,0.401,0.0,0.0616,0.455,114.145,4
29,30,Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,1197386604.0,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,4
30,31,1-800-273-8255,"Logic, Alessia Cara, Khalid",5tz69p7tJuGPeMGwNTxYuV,1230584677.0,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,4
31,32,Slow Hands,Niall Horan,27vTihlWXiz9f9lJM3XGVU,825475090.0,0.735,0.423,0,-6.652,1,0.0459,0.011,0.0,0.0553,0.851,85.899,4
32,33,Love On The Brain,Rihanna,2aksifNn5ph8igDOkPBA02,1116128972.0,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,3
33,34,I Feel It Coming,"The Weeknd, Daft Punk",3dhjNA0jGA8vHBQ1VdD6vV,,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,4
34,35,Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,4
35,36,Strip That Down,"Liam Payne, Quavo",4Ro98RCK90oHqqSZUnTFq5,,0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.023,4
36,37,Fake Love,Drake,343YBumqHu19cGoGARUTsd,,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,4
37,38,Don't Wanna Know (feat. Kendrick Lamar),"Maroon 5, Kendrick Lamar",3PGdPUMdUg7a3Tgr5gkfKK,,0.776,0.62,7,-6.198,1,0.067,0.341,0.0,0.0978,0.427,100.025,4
38,39,Look What You Made Me Do,Taylor Swift,2VjtYe7gpfUi2OkGxR2O2z,,0.767,0.671,9,-6.416,0,0.142,0.21,1.12e-05,0.129,0.474,128.072,4
39,40,Castle on the Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT,,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4
40,41,Bad Things (with Camila Cabello),"Machine Gun Kelly, Camila Cabello",1PSBzsahR2AKwLJgx8ehBj,,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,4
41,42,Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,1060152202.0,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4
42,43,Side To Side,"Ariana Grande, Nicki Minaj",1pKeFVVUOPjFsOABub0OaV,,0.65,0.736,6,-5.84,0,0.229,0.0528,0.0,0.235,0.613,159.173,4
43,44,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",5knuzwU65gJK7IF5yJsuaW,1338026531.0,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4
44,45,Feel It Still,Portugal. The Man,7FESgYLcOufHqKlwrvJN60,1106911134.0,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,4
45,46,Let Me Love You,"DJ Snake, Justin Bieber",0lYBSQXN6rCTvUZvg9S0lU,1774570700.0,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4
46,47,Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,1065847790.0,0.702,0.635,11,-6.917,0,0.265,0.0223,0.0,0.283,0.873,144.004,4
47,48,Bank Account,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,4
48,49,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,1514866271.0,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,4
49,50,Mi Gente (feat. Beyoncé),"J Balvin, Willy William, Beyoncé",7fwXWKdDNI5IutOMc5OKYw,,0.705,0.714,11,-6.39,0,0.0792,0.0249,0.0,0.253,0.434,104.996,4
50,51,Thunder,Imagine Dragons,5VnDkUNyX6u5Sk0yZiP8XB,,0.604,0.826,0,-4.804,1,0.0434,0.00782,0.15,0.154,0.241,167.985,4
51,52,T-Shirt,Migos,7KOlJ92bu51cltsD9KU5I7,,0.865,0.687,10,-3.744,0,0.217,0.242,0.0,0.158,0.486,139.023,4
52,53,Rake It Up (feat. Nicki Minaj),"Yo Gotti, Nicki Minaj",4knL4iPxPOZjQzTUlELGSY,342650648.0,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,4
53,54,Mercy,Shawn Mendes,0AS63m1wHv9n4VVRizK6Hc,,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,4
54,55,Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4,,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4
55,56,rockstar,"Post Malone, 21 Savage",1OmcAT5Y8eg5bUPv9qJT4R,,0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,4
56,57,In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw,471400750.0,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,4
57,58,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,1510572729.0,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4
58,59,Now Or Never,Halsey,7i2DJ88J7jQ8K7zqFX2fW8,,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,4
59,60,Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,701052460.0,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,4
60,61,Rolex,Ayo & Teo,0pSBuHjILhNEo55xK1zrRt,449828384.0,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,4
61,62,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,4
62,63,Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",1lItf5ZXJc1by9SbPeljFd,230428209.0,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517,4
63,64,Swang,Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL,569271267.0,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,4
64,65,Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz,,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
65,66,LOYALTY. FEAT. RIHANNA.,"Kendrick Lamar, Rihanna",0Omhxcy38tjNxqVZshdfpf,,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,4
66,67,Praying,Kesha,79NlESqzFSW0hdBWgls4FX,,0.565,0.381,10,-7.204,1,0.0302,0.48,0.0,0.109,0.325,73.483,4
67,68,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,1940228514.0,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
68,69,Cold (feat. Future),"Maroon 5, Future",50QWA5PR501dIe2KkJkHRR,,0.699,0.718,9,-6.295,0,0.116,0.13,0.0,0.043,0.52,99.915,4
69,70,Broccoli (feat. Lil Yachty),"DRAM, Lil Yachty",7yyRTcZmCiyzzJlNzGC9Ol,,0.886,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99,4
70,71,Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",7tr2za8SQg2CI8EDgrdtNl,,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4
71,72,What Ifs (feat. Lauren Alaina),"Kane Brown, Lauren Alaina",7zVCrzzEJU7u24sbJPXA5W,,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,4
72,73,Chained To The Rhythm,"Katy Perry, Skip Marley",5tP2TrJDgXXxAHZwcOknOI,,0.52,0.798,0,-5.389,1,0.0944,0.0763,0.0,0.144,0.485,95.252,4
73,74,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",5bcTCxgc7xVfSaMV3RuVke,,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,4
74,75,All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,673064088.0,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,4
75,76,Hurricane,Luke Combs,6xHI9KjUjYT0FPtGO8Mxa1,,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,4
76,77,Too Good At Goodbyes,Sam Smith,3VlbOrM6nYPprVvzBZllE5,1701844369.0,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,4
77,78,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,4
78,79,Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl,649542192.0,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,4
79,80,Love Galore (feat. Travis Scott),"SZA, Travis Scott",0q75NwOoFiARAVp4EXU4Bs,,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,4
80,81,Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie, Kodak Black",6Q2FftbUG530lCtBI74bMH,746967784.0,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,4
81,82,Starving,"Hailee Steinfeld, Grey, Zedd",4Ce37cRWvM1vIGGynKcs22,1103565615.0,0.728,0.616,4,-4.238,1,0.0645,0.378,0.0,0.105,0.508,99.962,4
82,83,Both (feat. Drake),"Gucci Mane, Drake",5tFep7dXGd7vEJ668wTPux,,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976,4
83,84,What About Us,P!nk,31MkGwj0SWgZaTvEt5Hgxv,,0.386,0.594,1,-6.186,1,0.0566,0.0252,3.19e-06,0.0873,0.187,113.756,4
84,85,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",6kex4EBAj0WHXDKZMEJaaF,,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4
85,86,Slippery (feat. Gucci Mane),"Migos, Gucci Mane",6p8NuHm8uCGnn2Dtbtf7zE,,0.92,0.675,1,-5.661,0,0.263,0.307,0.0,0.104,0.749,141.967,4
86,87,Sign of the Times,Harry Styles,5ELRkzdzz0HvGpMDlfZHkV,,0.518,0.575,5,-4.616,1,0.0302,0.0259,0.0,0.109,0.209,120.019,4
87,88,Water Under The Bridge,Adele,7xfzwPasShmaPL7gB7va3J,,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.35e-06,0.105,0.537,94.963,4
88,89,Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ,,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,4
89,90,Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,212694908.0,0.678,0.357,0,-14.712,0,0.128,0.675,0.00569,0.124,0.0661,113.301,5
90,91,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",5lNuqFVMca4vPupY10cH0J,646312059.0,0.739,0.619,10,-6.669,1,0.162,0.0572,0.0,0.105,0.58,112.961,4
91,92,Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,1758605448.0,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,4
92,93,I Get the Bag (feat. Migos),"Gucci Mane, Migos",1XRgIKC5TPwo7nWGyKqgG0,498474276.0,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,4
93,94,Small Town Boy,Dustin Lynch,2YMhrXQYKkm4kXLcXKKd5z,299205044.0,0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,4
94,95,Everyday We Lit (feat. PnB Rock),"YFN Lucci, PnB Rock",4PzovBqgnSHKd8opsP7IVM,196590839.0,0.758,0.646,7,-4.701,1,0.112,0.128,0.0,0.0778,0.589,155.955,4
95,96,Havana (feat. Young Thug),"Camila Cabello, Young Thug",0ofbQMrRDsUaVKq2mGLEAb,1876805734.0,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,4
96,97,What Lovers Do (feat. SZA),"Maroon 5, SZA",4nYsmWkuTaowTMy4gskmBw,,0.792,0.612,5,-5.212,0,0.0693,0.0805,3.83e-06,0.0852,0.42,109.959,4
97,98,do re mi,blackbear,3Q3myFA7q4Op95DOpHplaY,,0.745,0.593,8,-6.35,1,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,3
98,99,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18,,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,4
99,100,The Fighter,"Keith Urban, Carrie Underwood",5OUSPcqhYTOzpbXzoEvKim,,0.681,0.845,11,-5.147,0,0.0525,0.0304,0.0,0.197,0.761,132.023,4
